                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.72025,                0.54247,                 1.0893,                0.83197,                0.55762,                 1.1348,                0.66317,                 0.5679,                  0.597,                0.32278,                 1.5852,                 1.5329,                 1.7464,                 1.6466,                 1.7125,                 1.7329,               0.004654,               0.004654,               0.004654
                     84,                0.75747,                0.56165,                 1.1012,                0.88017,                0.59296,                 1.1524,                0.74911,                0.52836,                0.58539,                  0.333,                 1.5682,                 1.4496,                 1.7661,                 1.6807,                 1.6024,                 1.7373,               0.004588,               0.004588,               0.004588
                     85,                0.72739,                0.53039,                 1.1129,                0.85114,                0.54531,                  1.154,                0.77893,                0.57613,                0.61906,                0.30961,                 1.6248,                 1.6057,                 1.8332,                 1.7444,                 1.7773,                  1.831,               0.004522,               0.004522,               0.004522
                     86,                 0.7101,                0.54406,                 1.1177,                0.82743,                0.54256,                 1.1611,                0.74096,                0.55967,                0.56741,                0.33016,                 1.5366,                 1.7017,                 1.7325,                 1.6455,                  2.045,                 1.7141,               0.004456,               0.004456,               0.004456
                     87,                0.71985,                0.54521,                 1.1043,                0.83725,                0.57949,                 1.1501,                0.74063,                0.54733,                0.57619,                0.33783,                  1.591,                 1.5155,                 1.7485,                 1.6351,                 1.9485,                 1.7485,                0.00439,                0.00439,                0.00439
                     88,                0.70627,                0.52358,                 1.0914,                0.81333,                0.52183,                 1.1264,                0.72519,                0.58436,                 0.6177,                0.34599,                 1.6437,                 1.2861,                 1.7712,                 1.7061,                  1.625,                 1.7446,               0.004324,               0.004324,               0.004324
                     89,                0.71059,                0.52598,                 1.0861,                 0.8086,                   0.54,                 1.1207,                0.72116,                0.58436,                0.58378,                0.33651,                 1.6526,                 1.3994,                 1.7853,                 1.7127,                 1.7387,                 1.7418,               0.004258,               0.004258,               0.004258
                     90,                0.71091,                0.50826,                 1.0805,                0.82594,                0.51205,                 1.1183,                0.70115,                 0.5793,                0.58784,                0.33357,                 1.6566,                 1.4334,                 1.8148,                 1.7118,                 1.7593,                 1.7832,               0.004192,               0.004192,               0.004192
                     91,                  0.683,                0.52144,                 1.0776,                0.78504,                0.53147,                 1.1229,                0.80551,                0.56244,                0.60935,                0.35553,                 1.6256,                 1.4212,                 1.7874,                  1.707,                  1.735,                 1.7526,               0.004126,               0.004126,               0.004126
                     92,                0.67038,                0.50707,                 1.0693,                0.76925,                0.54684,                 1.1075,                0.78443,                0.58025,                0.59619,                0.29672,                 1.8382,                 1.5687,                  1.959,                 1.9155,                 1.8718,                 1.9167,                0.00406,                0.00406,                0.00406
                     93,                 0.6813,                0.51125,                 1.0663,                0.79405,                 0.5452,                 1.1081,                0.77833,                0.53498,                0.60784,                0.35335,                  1.612,                 1.3372,                 1.8101,                 1.6934,                 1.7807,                 1.7804,               0.003994,               0.003994,               0.003994
                     94,                0.64941,                0.47285,                 1.0438,                 0.7575,                0.48563,                 1.0848,                0.73921,                0.53909,                0.58337,                0.33791,                 1.6803,                 1.3749,                 1.8651,                 1.7613,                 1.7655,                 1.8747,               0.003928,               0.003928,               0.003928
                     95,                0.67185,                0.51856,                  1.075,                0.76442,                0.54826,                 1.1075,                0.74947,                0.55144,                0.59676,                0.33109,                 1.7097,                 1.5087,                 1.9001,                  1.779,                 1.8884,                 1.8743,               0.003862,               0.003862,               0.003862
                     96,                 0.6376,                0.49409,                 1.0432,                0.73229,                0.50841,                 1.0788,                0.74034,                0.62963,                0.65395,                0.34343,                 1.6607,                  1.308,                 1.8326,                 1.7606,                  1.576,                 1.8232,               0.003796,               0.003796,               0.003796
                     97,                 0.6715,                0.50757,                 1.0679,                0.76913,                0.51851,                 1.1058,                0.75841,                 0.6201,                0.63784,                0.35842,                 1.6469,                 1.2654,                 1.8234,                 1.7414,                 1.5052,                 1.8213,                0.00373,                0.00373,                0.00373
                     98,                0.64637,                0.48944,                 1.0605,                0.75237,                0.51775,                 1.1013,                0.70719,                0.61728,                0.62886,                0.36211,                 1.6188,                 1.3322,                 1.8072,                 1.7204,                 1.6451,                 1.7933,               0.003664,               0.003664,               0.003664
                     99,                0.66305,                0.48523,                 1.0688,                0.76225,                0.49135,                 1.1057,                0.72299,                0.59259,                0.62038,                0.35578,                 1.5703,                 1.4184,                 1.7423,                 1.6193,                 1.7229,                 1.7303,               0.003598,               0.003598,               0.003598
                    100,                0.63453,                0.47466,                 1.0379,                0.74522,                0.52337,                 1.0823,                0.71328,                0.55144,                0.59411,                0.34186,                 1.5822,                 1.4616,                 1.7695,                 1.6695,                  1.816,                 1.7667,               0.003532,               0.003532,               0.003532
